Test case_ID,TestScenario ID,Pre-Condition,Test Condition,Test case steps,Test data,Expected Result,Actual Result,Status,Comments
TC_VISIT FORUM_001,TS_VISIT FORUM_011,URL should be in working condition,Verify that user is able to click on visit forum button ,1.Open Chrome browser          2.Enter URL                                 3.Click on any theme         4.click on support button  5.click on visit forum button                                   6.click on search the forums text field,https://wordpress.com/,user should able to navigate search the forums text field it should accepts valid data ,user is able to navigate search the forums text field it should accepts valid data,PASS,
TC_HELP ICON_001,TS_HELP ICON_012,URL should be in working condition,Verify that if user click on help icon,1.Open Chrome browser          2.Enter URL                                 3.Click on help icon,https://wordpress.com/,user should able to see  help popup it will be displayed in the theme page,user is able to see  help popup it will be displayed in the theme page,PASS,
TC_HELP ICON_002,TS_HELP ICON_012,URL should be in working condition,Verify that if user click on help icon and click on displayed search bar,1.Open Chrome browser          2.Enter URL                                 3.Click on help icon           4.click on search bar    ,https://wordpress.com/,user should able to it enter valid values ,it is been accepted valid values ,PASS,
TC_HELP ICON_003,TS_HELP ICON_012,URL should be in working condition,Verify that if user click on help icon it displayed search bar,1.Open Chrome browser          2.Enter URL                                 3.Click on help icon           4.click on search bar    ,https://wordpress.com/,user should able to it enter invalid values , it is not been accepted invalid values    ,PASS,
TC_HELP ICON_004,TS_HELP ICON__012,URL should be in working condition,Verify that if user click on help icon it displayed list of recomanded resource popup in that click on change your website theme link,1.Open Chrome browser          2.Enter URL                                 3.Click on help icon           4.click on change your website theme link,https://wordpress.com/,user should able to navigate to watch a video button ,user is able to navigate to watch a video button ,PASS,
TC_HELP ICON_005,TS_HELP ICON_012,URL should be in working condition, Verify that if user click on help icon it displayed list of recomanded resource popup in that click on thems an overview,1.Open Chrome browser          2.Enter URL                                 3.Click on help icon           4.click on thems an overview link,https://wordpress.com/,user should able to navigate to read more button   ,user should able to navigate to read more button   ,PASS,
TC_HELP ICON_006,TS_HELP ICON_012,URL should be in working condition,Verify that if user click on help icon it displayed list of recomanded resource popup in that click on child themes link ,1.Open Chrome browser          2.Enter URL                                 3.Click on help icon           4.click on child themes link,https://wordpress.com/,user should able to navigate to read more button   ,user should able to navigate to read more button  ,PASS,
TC_HELP ICON_007,TS_HELP ICON_012,URL should be in working condition,Verify that if user click on help icon,1.Open Chrome browser          2.Enter URL                                 3.Click on help icon ,https://wordpress.com/,user should able to see list of recomanded resource popup    ,user is able to see list of recomanded resource popup   ,PASS,
TC_HELP ICON_008,TS_HELP ICON_012,URL should be in working condition,Verify that if user click on help icon it displayed list of recomanded resource popup in that click on contact us link,1.Open Chrome browser          2.Enter URL                                 3.Click on help icon            4.click on contact us link,https://wordpress.com/,user should able to see  go to the support forums popup ,user is able to see  go to the support forums popup,PASS,
TC_HELP ICON_009,TS_HELP ICON_012,URL should be in working condition,"Verify that if user click on ""contact us link"" in help icon and click on ""go to the support forums"" button","1.Open Chrome browser          2.Enter URL                                 3.Click on help icon            4.click on contact us link  5.click on go to the support forums"" button",https://wordpress.com/,user should able to navigate to need help page                                                                                     ,user is able to navigate to need help page                                                  ,PASS,
TC_HELP ICON_010,TS_HELP ICON_012,URL should be in working condition,"Verify that if user click on ""more help link"" in help icon",1.Open Chrome browser          2.Enter URL                                 3.Click on help icon            4.click on more help link,https://wordpress.com/,user should able to  navigate to support page    ,user should able to  navigate to support page    ,PASS,
TC_CUSTOMIZE MODULE_001,TS_CUSTOMIZE MODULE_013,URL should be in working condition,Verify that if user click on customize module,1.Open Chrome browser          2.Enter URL                                 3.Click on customize module,https://wordpress.com/,user should able to navigate to customizing tool bar along with customizing theme page should be displayed    ,user is able to navigate to customizing tool bar along with customizing theme page should be displayed    ,PASS,
TC_CUSTOMIZE MODULE_002,TS_CUSTOMIZE MODULE_013,URL should be in working condition,Verify that if user click on customize module under that click on colors,1.Open Chrome browser          2.Enter URL                                 3.Click on customize module                                  4.click on colors,https://wordpress.com/,user should able to see use site editor button ,user is able to see use site editor button ,PASS,
TC_CUSTOMIZE MODULE_003,TS_CUSTOMIZE MODULE_013,URL should be in working condition,Verify that if user click on customize module and click on site editor button,1.Open Chrome browser          2.Enter URL                                 3.Click on customize module                                  4.click on site editor button,https://wordpress.com/,user should able to navigate to theme editing page  ,user is able to navigate to theme editing page  ,PASS,
TC_CUSTOMIZE MODULE_004,TS_CUSTOMIZE MODULE_013,URL should be in working condition,"Verify that if user click on customize module and click on ""site editor button""  it will navigate to theme editing page under that click on color/font button",1.Open Chrome browser          2.Enter URL                                 3.Click on customize module                                  4.click on site editor button                                5.click on color/font button,https://wordpress.com/,"user should able to see typography link then click it will displayed Text,Links,Headings,Buttons options                                                                                           ","user is able to see typography link then click it will displayed Text,Links,Headings,Buttons options      ",PASS,
TC_SEARCH BAR_001,TS_SEARCH BAR_014,URL should be in working condition,Verify that if user click on search bar and enter the invalid data ,1.Open Chrome browser          2.Enter URL                                 3.Click on search bar,https://wordpress.com/,user should able to see no themes found page  ,user is able to see no themes found page  ,PASS,
